"path","ownership","category","gitStatus","reviewStatus","finding","severity","action","justification","tests","references"
".agents/skills/supabase-postgres-best-practices/CHANGELOG.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/SKILL.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/_contributing.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/_sections.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/_template.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/advanced-full-text-search.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/advanced-jsonb-indexing.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/conn-idle-timeout.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/conn-limits.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
".agents/skills/supabase-postgres-best-practices/references/conn-pooling.md","projeto","arquivo de projeto","tracked","vistoriado","vistoriado — sem achado específico","informativa","manter sob os gates arquiteturais e funcionais aplicáveis","nenhuma inconsistência individual adicional foi confirmada nesta revisão","validação proporcional à categoria e aos consumidores","auditoria forense 2026-07-31"
